Event.ID,UTC.Offset,Start.DateTime.UTC,End.DateTime.UTC,Start.DateTime.Local,End.DateTime.Local,Start.Date.Local,Start.Time.Local,Event.Duration,eventType,comment,SRKW,Transient,Uncertain 
1385,7:00,2019-09-10 0:28,2019-09-10 0:52,2019-09-09 17:28,2019-09-09 17:52,9-9-19,17:28:12,0:24:40, Killer Whale, Unknown - Clicks only,0,0,1
1395,7:00,2019-09-10 2:45,2019-09-10 3:11,2019-09-09 19:45,2019-09-09 20:11,9-9-19,19:45:07,0:26:45, Killer Whale, Transient,0,1,0
1475,7:00,2019-09-13 14:43,2019-09-13 14:44,2019-09-13 7:43,2019-09-13 7:44,9-13-19,7:43:15,0:01:00, Killer Whale, Unknown - sounds like short series of s16 but no other clicks or calls found??,1,0,1
1679,7:00,2019-09-21 13:05,2019-09-21 13:05,2019-09-21 6:05,2019-09-21 6:05,9-21-19,6:05:24,0:00:00, Killer Whale, Unknown - only 1 faint call,0,0,1
1680,7:00,2019-09-21 15:16,2019-09-21 18:45,2019-09-21 8:16,2019-09-21 11:45,9-21-19,8:16:19,3:28:48, Killer Whale, SRKW,1,0,0
1695,7:00,2019-09-22 1:38,2019-09-22 1:46,2019-09-21 18:38,2019-09-21 18:46,9-21-19,18:38:27,0:08:21, Killer Whale, SRKW- s1- s19 calls id'd,1,0,0
1745,7:00,2019-09-24 23:36,2019-09-24 23:36,2019-09-24 16:36,2019-09-24 16:36,9-24-19,16:36:03,0:00:03, Killer Whale,SRKW,1,0,0
1746,7:00,2019-09-25 0:02,2019-09-25 2:31,2019-09-24 17:02,2019-09-24 19:31,9-24-19,17:02:55,2:28:15, Killer Whale, SRKW - event continued from 9/24,1,0,0
1751,7:00,2019-09-25 3:29,2019-09-25 3:32,2019-09-24 20:29,2019-09-24 20:32,9-24-19,20:29:51,0:02:22, Killer Whale, Unk - Only brief bout of EC,0,0,1
1765,7:00,2019-09-25 16:53,2019-09-25 18:34,2019-09-25 9:53,2019-09-25 11:34,9-25-19,9:53:10,1:41:11, Killer Whale, SRKW,1,0,0
